name,addr,type,source,namespace,is_primary
DAT_08000aa8,0x08000AA8,Label,DEFAULT,Global,1
DAT_08000ad4,0x08000AD4,Label,DEFAULT,Global,1
DAT_08000ad8,0x08000AD8,Label,DEFAULT,Global,1
DAT_08000adc,0x08000ADC,Label,DEFAULT,Global,1
DAT_08000ae4,0x08000AE4,Label,DEFAULT,Global,1
DAT_08000b34,0x08000B34,Label,DEFAULT,Global,1
DAT_08000b68,0x08000B68,Label,DEFAULT,Global,1
DAT_08000b90,0x08000B90,Label,DEFAULT,Global,1
DAT_08000bf8,0x08000BF8,Label,DEFAULT,Global,1
DAT_08000c18,0x08000C18,Label,DEFAULT,Global,1
DAT_08000c90,0x08000C90,Label,DEFAULT,Global,1
DAT_08000ccc,0x08000CCC,Label,DEFAULT,Global,1
DAT_08000cd0,0x08000CD0,Label,DEFAULT,Global,1
DAT_08000ce0,0x08000CE0,Label,DEFAULT,Global,1
DAT_08000db8,0x08000DB8,Label,DEFAULT,Global,1
DAT_08000e2c,0x08000E2C,Label,DEFAULT,Global,1
DAT_08000e64,0x08000E64,Label,DEFAULT,Global,1
DAT_08000e90,0x08000E90,Label,DEFAULT,Global,1
DAT_08000f14,0x08000F14,Label,DEFAULT,Global,1
DAT_08000f18,0x08000F18,Label,DEFAULT,Global,1
DAT_08000f7c,0x08000F7C,Label,DEFAULT,Global,1
DAT_08001030,0x08001030,Label,DEFAULT,Global,1
DAT_080010a4,0x080010A4,Label,DEFAULT,Global,1
DAT_080010d0,0x080010D0,Label,DEFAULT,Global,1
DAT_080010fc,0x080010FC,Label,DEFAULT,Global,1
DAT_08001108,0x08001108,Label,DEFAULT,Global,1
DAT_08001114,0x08001114,Label,DEFAULT,Global,1
DAT_08001128,0x08001128,Label,DEFAULT,Global,1
DAT_080011ac,0x080011AC,Label,DEFAULT,Global,1
DAT_080011f0,0x080011F0,Label,DEFAULT,Global,1
DAT_08001250,0x08001250,Label,DEFAULT,Global,1
DAT_08001254,0x08001254,Label,DEFAULT,Global,1
DAT_08001298,0x08001298,Label,DEFAULT,Global,1
DAT_080012e0,0x080012E0,Label,DEFAULT,Global,1
DAT_08001318,0x08001318,Label,DEFAULT,Global,1
DAT_08001398,0x08001398,Label,DEFAULT,Global,1
DAT_0800139c,0x0800139C,Label,DEFAULT,Global,1
DAT_080013ac,0x080013AC,Label,DEFAULT,Global,1
DAT_080013d0,0x080013D0,Label,DEFAULT,Global,1
DAT_08001448,0x08001448,Label,DEFAULT,Global,1
DAT_08001454,0x08001454,Label,DEFAULT,Global,1
DAT_080014a4,0x080014A4,Label,DEFAULT,Global,1
DAT_080014b0,0x080014B0,Label,DEFAULT,Global,1
DAT_080014b4,0x080014B4,Label,DEFAULT,Global,1
DAT_080014dc,0x080014DC,Label,DEFAULT,Global,1
DAT_08001508,0x08001508,Label,DEFAULT,Global,1
DAT_08001560,0x08001560,Label,DEFAULT,Global,1
DAT_08001618,0x08001618,Label,DEFAULT,Global,1
DAT_08001680,0x08001680,Label,DEFAULT,Global,1
DAT_08001694,0x08001694,Label,DEFAULT,Global,1
DAT_080016d4,0x080016D4,Label,DEFAULT,Global,1
DAT_08001720,0x08001720,Label,DEFAULT,Global,1
DAT_0800176c,0x0800176C,Label,DEFAULT,Global,1
DAT_0800178c,0x0800178C,Label,DEFAULT,Global,1
DAT_08001790,0x08001790,Label,DEFAULT,Global,1
DAT_080017f4,0x080017F4,Label,DEFAULT,Global,1
DAT_080017f8,0x080017F8,Label,DEFAULT,Global,1
DAT_0800181c,0x0800181C,Label,DEFAULT,Global,1
DAT_08001820,0x08001820,Label,DEFAULT,Global,1
DAT_0800184c,0x0800184C,Label,DEFAULT,Global,1
DAT_080018c8,0x080018C8,Label,DEFAULT,Global,1
DAT_08001908,0x08001908,Label,DEFAULT,Global,1
DAT_08001938,0x08001938,Label,DEFAULT,Global,1
DAT_08001954,0x08001954,Label,DEFAULT,Global,1
DAT_08001994,0x08001994,Label,DEFAULT,Global,1
DAT_080019a8,0x080019A8,Label,DEFAULT,Global,1
DAT_080019c4,0x080019C4,Label,DEFAULT,Global,1
DAT_080019ec,0x080019EC,Label,DEFAULT,Global,1
DAT_080019f8,0x080019F8,Label,DEFAULT,Global,1
DAT_08001a1c,0x08001A1C,Label,DEFAULT,Global,1
DAT_08001a28,0x08001A28,Label,DEFAULT,Global,1
DAT_08001a54,0x08001A54,Label,DEFAULT,Global,1
DAT_08001aa0,0x08001AA0,Label,DEFAULT,Global,1
DAT_08001b5c,0x08001B5C,Label,DEFAULT,Global,1
DAT_08001b7c,0x08001B7C,Label,DEFAULT,Global,1
DAT_08001bec,0x08001BEC,Label,DEFAULT,Global,1
DAT_08001bf4,0x08001BF4,Label,DEFAULT,Global,1
DAT_08001c38,0x08001C38,Label,DEFAULT,Global,1
DAT_08001c48,0x08001C48,Label,DEFAULT,Global,1
DAT_08001cfc,0x08001CFC,Label,DEFAULT,Global,1
DAT_08001d48,0x08001D48,Label,DEFAULT,Global,1
DAT_08001d4c,0x08001D4C,Label,DEFAULT,Global,1
DAT_08001d6c,0x08001D6C,Label,DEFAULT,Global,1
DAT_08001ea4,0x08001EA4,Label,DEFAULT,Global,1
DAT_08001f44,0x08001F44,Label,DEFAULT,Global,1
DAT_08001f90,0x08001F90,Label,DEFAULT,Global,1
DAT_08001fd4,0x08001FD4,Label,DEFAULT,Global,1
DAT_08001fe0,0x08001FE0,Label,DEFAULT,Global,1
DAT_08001ffc,0x08001FFC,Label,DEFAULT,Global,1
DAT_08002034,0x08002034,Label,DEFAULT,Global,1
DAT_080020f0,0x080020F0,Label,DEFAULT,Global,1
DAT_080020f4,0x080020F4,Label,DEFAULT,Global,1
DAT_0800211c,0x0800211C,Label,DEFAULT,Global,1
DAT_0800213c,0x0800213C,Label,DEFAULT,Global,1
DAT_080021ac,0x080021AC,Label,DEFAULT,Global,1
DAT_08002200,0x08002200,Label,DEFAULT,Global,1
DAT_08002284,0x08002284,Label,DEFAULT,Global,1
DAT_080022fc,0x080022FC,Label,DEFAULT,Global,1
DAT_0800235c,0x0800235C,Label,DEFAULT,Global,1
